"R0000100","R4893600","R4893700","R4893800","R4893900","R4894000","R5459400","R5464100","R5473500","R5484100","R5532200","R5532300","R5532400","R5532500","R5532600","R7222400","R7227800","R7237200","R7248400","R7273600","R7273700","R7273800","R7273900","R7274000","R7274100","S0920800","S0920900","S0921000","S0921100","S0921200","S1530100","S1530200","S1530300","S1530400","S1530500","S1530600","S1530700","S1530800","S1530900","S1531000","S1535500","S1541700","S1552500","S1564300","S2000000","S2000100","S2000200","S2000300","S2000400","S2000500","S2000600","S2005400","S2011500","S2022300","S2034400","S3800000","S3800100","S3800200","S3800300","S3800400","S3800500","S3800600","S3800700","S3805700","S3812400","S3823200","S3835800","S4681900","S4682000","S4682100","S4682200","S4682300","S5400000","S5400100","S5400200","S5400300","S5400400","S5400500","S5400600","S5405600","S5412800","S5423200","S5436300","S7500000","S7500100","S7500200","S7500300","S7500400","S7500500","S7500600","S7500700","S7500800","S7506100","S7513700","S7525300","S7537100","S8332300","S8332400","S8332500","S8332600","S8332700","T0007500","T0007600","T0007700","T0007800","T0007900","T0008000","T0009400","T0014100","T0025600","T0033700","T2009900","T2010000","T2010100","T2010200","T2010300","T2010400","T2010500","T2010600","T2010700","T2012100","T2016200","T2020500","T2021300","T2782600","T2782700","T2782800","T2782900","T2783000","T3600200","T3600300","T3600400","T3600500","T3600600","T3600700","T3600800","T3600900","T3601000","T3601100","T3602100","T3606500","T3611200","T3612000","T5200700","T5200800","T5200900","T5201000","T5201100","T5201200","T5202300","T5206900","T5211600","T5211900","T6143700","T6143800","T6143900","T6144000","T6144100"
11,3,3,4,2,4,1,0,3,1,3,-4,-4,-4,-4,1,3000,3,1,3,-4,-4,-4,-4,-4,3,3,2,3,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,34250,3,1,-4,-4,-4,-4,-4,-4,-4,2,-3,1,1,4,-4,-4,-4,-4,-4,-4,-4,1,17500,3,1,2,3,2,3,3,-4,-4,-4,-4,-4,-4,-4,1,130808,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,77598,3,1,3,3,3,3,3,-4,-4,-4,-4,-4,-4,1,92458,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,39250,3,1,3,3,2,3,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,-4,-4,-4,-4,-4,-4,1,-3,3,1,3,-2,2,3,2
12,4,3,4,1,4,1,63000,3,1,-4,-4,-4,-4,-4,1,-3,3,1,-4,-4,-4,-4,-4,-4,4,2,3,1,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,94700,3,1,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,-4,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,4,2,3,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,4,3,3,2,4,-4,-4,-4,-4,-4,-4,1,45250,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,51000,3,1,4,3,3,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,61500,3,1,-4,-4,-4,-4,-4,-4,1,56000,3,1,4,3,3,1,4
13,3,3,2,3,3,1,-4,3,1,-4,-4,-4,-4,-4,1,-3,3,1,-4,-4,-4,-4,-4,-4,4,4,3,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,3,1,-4,-4,-4,-4,-4,-4,-4,1,45250,3,1,-4,-4,-4,-4,-4,-4,-4,-4,1,10650,3,1,4,3,2,3,4,-4,-4,-4,-4,-4,-4,-4,1,2520,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,21970,3,1,3,2,3,2,4,-4,-4,-4,-4,-4,-4,1,17250,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,37500,3,1,3,3,2,3,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,55000,3,1,2,-4,-4,-4,-4,-4,1,-3,3,1,3,3,3,3,3
14,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
15,2,1,3,1,3,4,-4,1,0,-4,-4,-4,-4,-4,4,-4,1,0,-4,-4,-4,-4,-4,-4,3,2,4,2,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,-4,-4,-4,-4,-4,-4,-4,1,12000,3,1,3,-4,-4,-4,-4,-4,-4,-4,4,-3,1,0,4,1,4,1,4,-4,-4,-4,-4,-4,-4,-4,4,-3,1,0,2,-4,-4,-4,-4,-4,-4,-4,-4,4,12000,3,1,3,2,2,3,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,-4,-4,-4,-4,-4,-4,1,82000,3,1,3,3,3,3,3
16,4,2,4,4,3,1,-4,3,1,-4,-4,-4,-4,-4,1,3300,3,1,-4,-4,-4,-4,-4,-4,3,3,4,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,-4,-4,-4,-4,-4,-4,-4,-4,1,0,3,1,4,4,4,3,3,-4,-4,-4,-4,-4,-4,-4,1,0,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,4,1,4,1,4,-4,-4,-4,-4,-4,-4,1,10000,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,4,3,3,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,0,3,1,3,2,-4,-4,-4,-4,1,38750,3,1,1,4,1,4,1
17,3,2,3,4,4,1,-3,3,1,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,1,57000,3,1,3,2,4,2,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
18,1,3,3,2,2,1,47502,3,1,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,1,2,4,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,-4,-4,-4,-4,-4,-4,-4,1,80000,3,1,-4,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,4,1,3,2,4,-4,-4,-4,-4,-4,-4,-4,1,74500,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,56000,3,1,4,-2,4,1,-2,2,-4,-4,-4,-4,-4,1,27500,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,4,1,4,3,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,-4,-4,-4,-4,-4,-4,1,0,3,1,4,4,4,4,4
19,3,2,4,1,3,1,-4,3,1,-4,-4,-4,-4,-4,3,-3,2,1,3,-4,-4,-4,-4,-4,3,2,4,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,29500,3,1,-4,-4,-4,-4,-4,-4,-4,1,40000,3,1,-4,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,4,3,1,3,4,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,3,2,1,4,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,0,3,1,-4,-4,-4,-4,-4,-4,1,45000,3,1,4,-1,4,-1,4
20,3,3,3,3,3,1,2000,3,1,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,2,3,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,-4,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,4,1,4,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-4,-4,1,0,3,1,4,1,4,1,3
21,4,2,4,1,4,1,35000,3,1,-4,-4,-4,-4,-4,1,-3,3,1,-4,-4,-4,-4,-4,-4,4,2,4,1,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,56000,3,1,-4,-4,-4,-4,-4,-4,-4,1,40000,3,1,-4,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,4,2,3,2,4,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,4,1,4,1,4,-4,-4,-4,-4,-4,-4,1,14000,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,12245,3,1,3,3,3,3,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,0,3,1,-4,-4,-4,-4,-4,-4,1,0,3,1,4,2,4,1,4
22,4,1,3,3,3,1,-4,3,1,-4,-4,-4,-4,-4,1,0,3,1,-4,-4,-4,-4,-4,-4,4,1,4,1,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,-4,-4,-4,-4,-4,-4,-4,1,27000,3,1,-4,-4,-4,-4,-4,-4,-4,-4,1,47500,3,1,4,2,4,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-4,-4,1,87750,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-4,-4,1,75250,3,1,4,2,3,2,3
23,2,3,4,2,3,1,-4,3,1,-4,-4,-4,-4,-4,1,-4,3,1,-4,-4,-4,-4,-4,-4,3,4,3,2,3,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,-3,1,1,-4,-4,-4,-4,-4,-4,-4,3,25000,1,1,3,-4,-4,-4,-4,-4,-4,-4,1,32800,3,1,3,4,3,3,3,-4,-4,-4,-4,-4,-4,-4,1,62500,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,3,3,4,2,3,-4,-4,-4,-4,-4,-4,1,78500,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,78000,3,1,4,4,2,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,-4,-4,-4,-4,-4,-4,1,-3,3,1,-2,3,2,3,4
24,4,2,2,4,1,1,-4,3,1,-4,-4,-4,-4,-4,1,-4,3,1,-4,-4,-4,-4,-4,-4,3,3,2,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,0,3,1,3,3,-4,-4,-4,-4,-4,1,-3,3,1,-4,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,3,2,4,2,4,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,3,3,3,2,4,-4,-4,-4,-4,-4,-4,1,-3,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,3,4,3,3,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,7200,3,1,-4,-4,-4,-4,-4,-4,1,-3,3,1,2,2,3,2,2
25,3,2,3,2,2,1,38000,3,1,-4,-4,-4,-4,-4,1,46500,3,1,-4,-4,-4,-4,-4,-4,3,3,3,2,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,46000,3,1,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,-4,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,4,2,4,2,4,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,75000,3,1,4,2,4,1,4,-4,-4,-4,-4,-4,-4,1,21500,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,2800,3,1,4,2,4,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,38000,3,1,-4,-4,-4,-4,-4,-4,1,-3,3,1,4,2,4,1,4
26,-2,1,3,3,-2,1,-3,3,1,-4,-4,-4,-4,-4,1,-3,3,1,-4,-4,-4,-4,-4,-4,1,3,2,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,3,-4,-4,-4,-4,-4,-4,1,-3,3,1,-4,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,2,2,-1,1,1,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,4,1,4,2,4,-4,-4,-4,-4,-4,-4,1,7841,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,-1,-1,-1,-1,-1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1980,3,1,-4,-4,-4,-4,-4,-4,1,14250,3,1,1,3,3,2,4
27,3,3,3,3,3,1,5000,3,1,-4,-4,-4,-4,-4,1,4000,3,1,-4,-4,-4,-4,-4,-4,3,2,3,2,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,2,-4,-4,-4,-4,-4,-4,1,1500,3,1,-4,-4,-4,-4,-4,-4,-4,-4,1,-3,3,0,3,3,3,2,3,-4,-4,-4,-4,-4,-4,-4,1,58650,3,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,12000,3,0,3,3,3,3,4,-4,-4,-4,-4,-4,-4,1,9000,3,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,16000,3,0,3,3,3,3,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,3500,3,0,-4,-4,-4,-4,-4,-4,1,1750,3,0,3,3,3,2,4
28,3,2,3,3,3,1,-4,3,1,-4,-4,-4,-4,-4,1,-3,3,1,-4,-4,-4,-4,-4,-4,3,3,3,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,-4,-4,-4,-4,-4,-4,-4,-4,1,16250,3,1,3,2,-2,2,4,-4,-4,-4,-4,-4,-4,-4,1,33550,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,3,2,4,2,4,-4,-4,-4,-4,-4,-4,1,105250,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,4,2,4,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,32000,3,1,-4,-4,-4,-4,-4,-4,1,31750,3,1,3,3,3,3,3
29,4,3,4,2,4,1,-4,3,1,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
